ID,Name,Countries,Country Codes,ISO639-3 Codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
477,Kamas,Russian Federation,RUS,"xas, zkb",Extinct,0,57.9964,92.8784,"formerly spoken in the eastern part of the Minusinsk region, in modern Krasnoyarsk Region; the area became gradually restricted to the Kan and Mana river basins and their sources on the northwesternmost slopes of the Eastern Sayan mountains; the last Kamas-speaking community lived in the village of Abalakovo"
881,Cayuse,United States of America,USA,xcy,Extinct,0,44.9647,-118.5424,
130,ǁXegwi,South Africa,ZAF,xeg,Extinct,0,-25.35,30.99,"Lake Chrissie, Eastern Transvaal. "
1881,Xakriabá,Brazil,BRA,xkr,Extinct,0,-14.5306,-44.0438,
618,Krenjê,Brazil,BRA,xre,Extinct,0,-2.5644,-46.6589,"The group lives in the indigenous lands Alto Rio Guamá Municipality of Paragominas, south-western Pará state - Brazil."
252,Yir Yoront,Australia,AUS,yiy,Extinct,0,-16.3095,141.4489,
754,Yameo,Peru,PER,yme,Extinct,0,-4.4449,-73.5644,"Departamento de  Loreto, alrededores de  Nauta"
158,Old Sirenik,Russian Federation,RUS,ysr,Extinct,0,64.4194,-173.9657,the village of Sireniki [Сиреники] in Chukchi Autonomous District
509,Yug,Russian Federation,RUS,"yug, yuu",Extinct,0,61.0901,88.1982,"originally the basins of the rivers Sym, Kas, and Dubches, western tributaries to the middle Yenisey opposite to the Podkamennaya Tunguska, later the villages of Vorogovo in Turukhansk County and Yartsevo in Yeniseysk County in Krasnoyarsk Region; Yug has two ISO codes"
610,Yurutí (Brazil),Brazil,BRA,yui,Extinct,0,-0.1318,-69.1699,
849,Yuki,United States of America,USA,yuk,Extinct,0,37.4336,-118.5908,"Formerly spoken in several dialects along the coast between Fort Bragg and Rockport,  along the South Eel River north of Willits, and in communities in and around Round Valley.  "
2713,Yoba,Papua New Guinea,PNG,zgr,Extinct,0,-10.0337,149.2272,"Southeastern hinterland, Central Province"
21,Zeem,Nigeria,NGA,zua,Extinct,0,9.8389,9.0911,
4,Guanche,Spain,ESP,,Extinct,0,27.9264,-15.6774,the Canary Islands
12,Baga Kalem,Guinea,GIN,,Extinct,0,10.4013,-14.3151,
17,Boro,"Ethiopia, Togo","ETH, TGO",,Extinct,0,8.6244,0.6262,
87,Qwarenya,Ethiopia,ETH,,Extinct,0,9.9207,38.3828,
93,Lorkoti,Kenya,KEN,,Extinct,0,-0.4943,37.359,
100,Kore,Kenya,KEN,,Extinct,0,-2.2845,40.9185,Last speaker  lived on Lamu Island.
104,Napore,Uganda,UGA,,Extinct,0,3.8478,33.9147,
125,Kwisi,Angola,ANG,,Extinct,0,-16.7309,13.0572,
126,Kede,Angola,ANG,,Extinct,0,-17.1617,16.1059,Used to be spoken north of the Namibian-Angolan border.
137,Kinare,Kenya,KEN,,Extinct,0,-0.725,37.2436,
170,Badala,Australia,AUS,,Critically endangered,0,-25.285,153.1054,
177,Dungidjau,Australia,AUS,,Extinct,0,-26.5885,152.2705,
305,Opon-Carare,Colombia,COL,,Extinct,0,6.206,-73.7402,"On the Opon and Carare rivers, east of the Magdalena (Santander)"
358,Gothic,Ukraine,UKR,,Extinct,0,44.653,33.8598,the Crimea
361,Norn,United Kingdom of Great Britain and Northern Ireland,GBR,,Extinct,0,60.3051,-1.2744,the Shetland Islands; earlier also the Orkney Islands and adjacent mainland Scotland
371,Kemi Saami,Finland,FIN,,Extinct,0,67.0631,27.6635,Sodankylä and Kuolajärvi (Salla) counties in Lapland Province
390,Mozarabic,Spain,ESP,,Extinct,0,37.4574,-3.988,southern Spain
395,Old Prussian,Russian Federation,RUS,,Extinct,0,54.8987,20.4895,Samland and Kurische Nehrung in East Prussia
403,Polabian,Germany,DEU,,Extinct,0,53.094,11.3461,"the Elbe River basin in northeastern Germany, last in Altmark in the north of Saxony-Anhalt and in south-western Mecklenburg"
460,Kyakala,China,CHN,,Extinct,0,45.3819,128.7597,between the Ussuri and Sungari basins in northeastern Manchuria; an extinct outlying dialect of Udege not listed at all by the SIL
470,Eastern Kamchadal,Russian Federation,RUS,,Extinct,0,56.511,161.0156,the eastern coast of central Kamchatka and in the basin of the river Kamchatka
485,Kott,Russian Federation,RUS,,Extinct,0,56.3013,94.5318,"the basin of the river Kan, an eastern tributary to the upper Yenisey, to the south of Krasnoyarsk"
488,Mator,Russian Federation,RUS,,Extinct,0,54.0593,95.4492,"the northern slopes of the Eastern Sayan mountains, extending from the eastern part of the Minusinsk region in the west (dialects Mator proper and Taigi) to the Baikal region in the east (Karagas Samoyed); Mator has two ISO codes"
499,Southern Kamchadal,Russian Federation,RUS,,Extinct,0,52.6963,156.7089,"the southern part of Kamchatka, possibly mainly on the eastern coast"
510,Yurats,Russian Federation,RUS,,Extinct,0,69.2872,81.914,the tundra zone to the west of the lower Yenisey basin
513,Andro,India,IND,,Extinct,0,24.8415,94.0539,
519,Chairel,India,IND,,Extinct,0,24.976,94.2407,
540,Malin,Myanmar,MMR,,Extinct,0,24.57,94.56,
547,Phalok,Thailand,THA,,Extinct,0,18.9582,98.789,
551,Pyu,Myanmar,MMR,,Extinct,0,18.9424,94.8751,
558,Sengmai,India,IND,,Extinct,0,24.6445,94.0567,
569,Apolista,Bolivia (Plurinational State of),BOL,,Extinct,0,-14.4027,-68.6206,
